Image Name,Category,No.1 Style,No.2 Style,No.3 Style,No.4 Style,Style 1 Keywords,Style 2 Keywords,Style 3 Keywords,Style 4 Keywords,Neuron No.1 Style,Neuron No.2 Style,Neuron No.3 Style,Neuron No.4 Style,Neuron Style 1 Keywords,Neuron Style 2 Keywords,Neuron Style 3 Keywords,Neuron Style 4 Keywords,Origin Neuron Focus,Origin Neuron Cognitive Demand,Origin Neuron Engagement,Origin Neuron Memory,Style 1 Neuron Focus,Style 1 Neuron Cognitive Demand,Style 1 Neuron Engagement,Style 1 Neuron Memory,Style 2 Neuron Focus,Style 2 Neuron Cognitive Demand,Style 2 Neuron Engagement,Style 2 Neuron Memory,Style 3 Neuron Focus,Style 3 Neuron Cognitive Demand,Style 3 Neuron Engagement,Style 3 Neuron Memory,Style 4 Neuron Focus,Style 4 Neuron Cognitive Demand,Style 4 Neuron Engagement,Style 4 Neuron Memory,Style 1 Heatmap %,Style 1 Red Dot %,Style 1 Yellow Dot %,Style 1 Green Dot %,Style 2 Heatmap %,Style 2 Red Dot %,Style 2 Yellow Dot %,Style 2 Green Dot %,Style 3 Heatmap %,Style 3 Red Dot %,Style 3 Yellow Dot %,Style 3 Green Dot %,Style 4 Heatmap %,Style 4 Red Dot %,Style 4 Yellow Dot %,Style 4 Green Dot %,Original Heatmap %,Original Red Dot %,Original Yellow Dot %,Original Green Dot %
Image 11: Clothes Store,Retail,2,3,1,4,"Illegible sign, Dark, Gloomy","High contrast, Vibrant, Clear","Comic-like, Vibrant, Pronounced","Low contrast, Dull, Blurry",4,2,1,3,"Door, Window, Door Dominant","Store Sign, Door, Minor Surround","Right Sign, Left Sign, Sign Dominant","Multiple Regions, Scattered, Minimal Else",65,41,70,41,64,46,72,42,70,43,60,43,78,40,60,39,66,37,48,41,39.567,4.833,3.624,23.559,28.57,5.36,3.006,13.914,26.465,3.126,1.977,13.142,31.873,2.474,2.714,17.792,29.292,1.767,1.218,12.554
Image 12: Decoration Store,Retail,2,4,1,3,"Unnatural pink, High contrast, Clear","Bold contrast, Soft, Defined","Colorful, Energetic, Hazy","Dark, Little contrast, Blurry",3,1,4,2,"Store Sign, Bottom Window, Right Door","Left Sign, Bottom Window, Right Door","Store Sign, Central Window, Balanced","Store Sign Left, Store Sign Right, Bottom Windows",75,36,53,42,74,42,79,42,84,42,78,42,65,36,65,50,75,44,82,36,23.723,2.98,3.366,13.394,23.719,3.255,2.851,10.599,36.798,4.357,3.634,19.576,25.124,3.528,2.644,12.349,32.27,3.073,3.564,12.958
Image 13: Candy Shop,Retail,4,1,2,3,"Purple shades, Lit, Transparent","Odd colors, Well-defined, Unnatural","Vibrant, Playful, Overdone","Blue shades, Natural, Dreamlike",4,1,2,3,"Central Window, Store Sign, High Surround","Store Sign, Bottom Window, Minor Central","Central Focus, Minimal Else, Store Sign","Store Sign, Glass Door, Balanced Focus",53,50,69,31,36,37,74,26,49,32,58,35,58,37,61,24,43,34,55,41,57.022,3.625,3.775,27.809,47.063,8.055,5.182,20.927,44.102,4.599,4.152,23.444,48.601,5.137,4.908,27.414,49.434,1.815,2.866,26.08
Image 14: Gift Shop,Retail,2,4,1,3,"Low contrast, Hazy, Blunt","Midnight sun, Clear, Bold","Vivid colors, Unnatural, Sketch-like","Dull, Smudged, Unclear",2,4,1,3,"Artwork, Store Sign, Windows","Store Sign, Artwork, Minor Pillar","Store Pillar, Store Sign, Artwork","Store Pillar, Store Sign, Windows",80,45,77,60,88,44,69,47,81,53,71,45,86,47,61,44,76,47,63,44,18.798,1.428,1.165,7.912,24.605,4.256,2.315,10.632,19.205,2.756,1.89,7.622,31.703,4.081,4.034,19.101,18.637,0.594,1.176,7.95
Image 15: Pottery Store,Retail,4,3,2,1,"Dim, Red signs, Poor reflections","Bright, Yellow, Contrasting","Well-defined, Pink signs, Elegant","Natural, Soft, Calm",2,1,4,3,"Upper Sign, Lower Sign, Minimal Else","Upper Sign, Lower Sign, Balanced Focus","Upper Sign, Focused, Minimal Else","Upper Sign, Windows, Other Signs",67,42,85,34,85,51,81,46,81,40,71,44,90,53,66,45,89,41,72,36,23.319,1.251,1.857,11.736,21.222,3.717,3.392,8.025,19.764,3.497,1.866,5.742,19.009,0.864,1.815,9.767,21.388,0.985,2.615,9.864
Image 16: Mexican Market,Retail,2,1,3,4,"Soft, Modern, Reflective","Natural fit, Sharp, Contrasting","Odd colors, Vivid purple, Defined","Dull, Sketch-like, Overused black",1,4,3,2,"Right Sign, Bottom Windows, Multiple Regions","Bottom Right Sign, Upper Sign, Windows","Bottom Center, Windows, Minimal Else","Bottom Right Sign, Upper Sign, Windows",48,36,71,47,63,36,75,31,91,37,79,34,82,34,65,32,76,35,72,23,33.432,4.983,2.848,11.338,19.605,4.34,3.835,9.903,25.355,2.95,2.756,9.805,25.948,1.178,1.317,11.544,28.278,1.734,2.745,15.733
Image 17: Insurance Retail Store,Retail,1,4,2,3,"Bold red, Clear, Fitting","Extreme yellow, Vivid, Clashing","Too bright, Cartoonish, Illegible","Soft blue, Dim, Hazy",3,1,4,2,"Central Window, Left Window, Right Window","Central Window, Store Sign, Surrounding","Store Sign Left, Store Sign Right, Bottom Windows","Central Window, Store Sign, Adjacent Windows",55,42,69,35,82,44,71,45,90,48,66,25,76,45,77,39,82,39,64,20,27.144,2.365,3.728,10.746,21.313,5.509,3.36,9.102,31.354,3.949,3.43,14.288,29.799,1.599,1.785,13.182,31.05,0.664,0.762,13.185
Image 18: Vitamin and Supplements Shop,Retail,2,3,1,4,"Soft, Natural, Hazy","Natural, Bold, Contrasting","Extreme, Pronounced, Vivid","Dark, Gloomy, Luxurious",1,2,4,3,"Store Sign, Door Left, Door Right","Door, Store Sign, Minor Windows","Red Store Sign, Windows, Bulletin Board","Store Sign, Door, Left Window",71,32,56,30,50,30,57,35,55,29,69,35,72,31,65,40,60,33,74,32,38.032,3.761,4.278,17.66,34.603,3.672,4.673,18.597,34.566,3.457,2.983,19.881,35.354,4.322,5.32,20.361,35.335,2.441,3.07,18.132
Image 19: Smoke Shop,Retail,1,4,3,2,"Well-defined, Bold, Legible","Extreme reflections, Messy","Cartoonish, Bright, Vivid","Luxurious, Clear, Overused green",3,2,4,1,"Right Store Sign, Left Window, Minor Windows","Right Store Sign, Left Window, Balanced","Left Window, Right Sign, Upper Window","Right Store Sign, Minimal Else, Single Focus",84,55,79,59,95,53,63,55,91,48,76,44,79,43,68,49,96,50,58,47,21.482,5.011,2.007,10.084,18.936,2.597,3.366,8.313,22.799,2.878,2.955,12.852,12.628,1.699,1.609,5.506,36.15,1.86,1.669,15.584
Image 20: Men__ Clothing Store,Retail,2,1,4,3,"Extreme purple, Bold, Blurry","Simple, Good contrast, Clear","Unnatural, Bright, Low contrast","Dark, Peculiar, Contrasting",1,3,2,4,"Store Sign, Lower Window, Multiple Focus","Store Sign, Lower Window, Upper Window","Store Sign, Lower Windows, Connected Regions","Store Sign, Lower Windows, Connected Regions",38,45,78,39,43,37,79,27,41,41,69,31,47,39,79,23,47,44,69,36,41.515,5.549,3.894,16.527,42.907,3.891,3.63,14.864,45.742,4.559,3.1,17.428,45.575,2.889,3.93,25.189,51.742,4.114,7.364,22.854
Image 21: Toy Store,Retail,4,2,3,1,"Green signboard, blurry text, reflection clutter","Color contrast, reflective effect, clear architectural details","Rainbow colors, cartoonish, excessive colors","Color harmony, strong contrast, clear definition",1,2,3,4,"Upper, Central, Lower","Store Sign, Minimal Else, Focused","Store Sign, Minimal Else, Consistent","Store Sign, Minimal Else, Singular Focus",70,33,72,38,43,31,58,46,60,30,51,39,78,32,79,37,72,35,69,32,42.13,4.914,3.635,15.444,32.864,4.777,3.323,12.58,25.934,3.85,2.942,10.789,33.297,5.664,3.972,14.289,35.835,3.172,4.998,17.702
Image 22: Cosmetics Store,Retail,2,4,3,1,"Monotonous red, crooked signboard, excessive colors","Deep blue sign, vivid colors, bright lighting","Multicolored sign, welcoming contrast, complex colors","Color contrast, soft visuals, moderate reflections",4,1,2,3,"Store Sign, Bottom Windows, High Focus","Below Sign, Central Window, Pillars","Central Window, Store Sign, Surrounding Windows","Store Sign, Door Top, Below Roof",76,34,77,55,65,35,67,49,71,40,75,29,81,40,80,43,51,36,69,29,32.287,3.118,3.29,15.946,35.913,3.899,3.998,18.421,25.249,3.711,2.158,11.948,37.508,3.541,2.116,17.349,27.518,2.454,2.03,11.991
Image 23: Korean Cosmetics Store,Retail,4,2,1,3,"Bright pink-blue sign, blurry visuals, few colors","Yellow contrast, bright interior, overexposed areas","Too many colors, cartoonish, clear image","Natural colors, blue-white contrast, clear reflections",2,3,4,1,"Central Window, Right Sign, Balanced Focus","Store Sign, Central Window, Multiple Regions","Central Window, Store Sign, Multi Focus","Left Window, Central Window, Right Window",48,49,69,40,73,40,61,41,59,46,77,20,61,49,67,37,71,42,54,19,31.302,5.037,4.366,7.583,37.004,6.949,6.202,14.54,40.072,5.157,4.461,18.212,34.16,3.788,4.171,18.538,43.556,2.365,2.547,26.628
Image 24: Cosmetics Store,Retail,4,3,2,1,"Shadow obstruction, low quality, modern elements","Dark wood, classical feel, dark tones","Elegant, dreamy colors, artificial feel","Modern elegance, golden contrast, clear details",2,1,4,3,"Right Sign, Central Window, Balanced","Store Sign Left, Store Sign Right, Central Window","Left Sign, Minimal Else, Store Sign Focus","Store Sign Left, Store Sign Right, Central Window",71,47,80,23,70,43,75,35,69,46,77,22,72,41,72,25,72,50,74,41,32.314,2.974,3.284,22.666,32.87,3.704,5.354,22.115,29.939,4.006,2.021,18.558,36.324,3.456,4.832,21.653,33.08,2.572,3.791,17.821
Image 25: Smoke Shop,Retail,2,3,1,4,"Dark sign, lack contrast, ordinary details","Contrast color, welcoming feel, coordinated details","Multicolor sign, natural roof, complex colors","No contrast, rough texture, luxurious feel",4,1,2,3,"Store Sign, Bottom Right Window, Central Window","Bottom Right Window, Store Sign, Central Window","Bottom Right Window, Store Sign, Minimal Else","Store Sign, Bottom Right Window, Dual Focus",82,55,76,55,82,42,76,47,87,48,59,54,89,36,73,33,67,48,57,52,27.029,4.442,2.587,14.548,22.791,4.837,2.308,12.436,19.079,2.852,2.236,9.348,31.534,4.463,3.829,20.742,25.564,3.43,4.009,11.12
Image 26: Tobacco Shop,Retail,2,4,3,1,"Excessive green, blurry colors, cheap look","Prominent text, sharp clarity","Multicolor, animated feel, color contrast","Blue-white-black, soft natural, clear text",4,1,2,3,"Central Window, Left Window, Right Window","Right Window, Store Sign, Left Window","Left Window, Right Window, Minimal Else","Left Window, Right Window, Central Windows",72,37,80,38,63,39,71,48,79,48,78,32,80,41,75,44,64,34,70,29,53.069,8.226,4.215,18.397,29.837,5.669,4.106,13.642,28.217,4.016,2.991,14.26,33.729,2.763,2.223,16.2,29.578,2.187,2.501,16.808
Image 27: Smoke Shop,Retail,4,2,1,3,"Green-white color, overly bright, blurry parts","Sunset tones, highlighted details","Multicolor reflection, youthful vibe, cluttered blur","Soft natural, low-key colors, clear details",3,2,4,1,"Upper Sign, Windows, Minimal Else","Upper Sign, Bottom Windows, Minimal Else","Upper Sign, Windows, Minimal Else","Upper Sign, Minimal Else, Singular Focus",72,39,74,51,82,32,67,40,68,37,64,35,57,32,80,45,71,29,63,29,26.712,3.102,3.172,10.626,33.564,6.907,2.925,15.757,42.152,5.267,4.003,22.807,32.186,2.989,2.764,15.749,39.997,2.141,2.928,18.547
Image 28: Street Convenience Store,Retail,3,4,2,1,"Shadow obstruction, bright pink sign, color clash","Soft colors, dull blur, blurry sign","Colorful contrast, clear definition, complete details","Soft natural, pale blue sign, blurry right side",1,3,2,4,"Gated Door, Store Signs, Bottom Window","Gated Door, Store Sign, Bottom Window","Gated Door, Store Sign, Groceries Roof","Gated Door, Left Door, High Focus",73,53,72,64,60,49,58,52,73,39,73,60,74,54,59,55,77,38,56,46,35.264,3.483,4.078,18.832,27.482,3.226,2.754,11.265,36.174,2.887,4.483,16.998,24.712,1.759,2.045,11.154,36.546,3.367,3.398,17.614
Image 29: Quick Buy Store,Retail,3,4,1,2,"Red sign, blurry center, dull tones","Contract color, prominent text, unnatural","Dull dusty, clear view, white-purple contrast","Color highlight, overly bright, flat details",3,4,1,2,"Right Sign, Central Window, Left Sign","Right Sign, Minimal Else, Focused","Right Sign, Central Window, Dual Focus","Right Sign, Minimal Else, Singular Focus",73,50,72,44,76,34,76,51,91,41,67,44,74,38,81,44,72,37,88,36,28.246,1.532,2.545,11.593,20.11,4.709,1.223,9.926,28.421,4.196,2.063,10.231,31.646,1.379,2.079,19.852,25.086,3.335,1.468,8.289
Image 30: Glass Store,Retail,2,3,4,1,"Colorful, blurry colors, partial blur","Coordinated brick wall, elegant natural","Color contrast, sharp clarity, obvious brick texture","Shadow obstruction, brown contrast, hazy blur",3,2,4,1,"Central Window, Left Sign, Right Sign","Store Sign Left, Store Sign Right, Central Window","Left Sign, Right Sign, Central Window","Central Window, Left Sign, Right Sign",54,40,64,34,71,34,70,32,64,38,48,19,60,39,68,35,65,38,59,29,30.091,6.307,2.479,12.145,29.315,3.655,2.418,14.55,32.628,3.296,3.813,14.427,31.486,3.586,2.878,18.809,34.447,1.374,2.804,20.468
Image 31: Handicrafts Store,Retail,2,1,4,3,"Modern, colorful, friendly feel","Artistic window, grand natural","Dull yellow, blue window art, gloomy atmosphere","Glaring red, coordinated brick",3,1,4,2,"Green Sign, Central Window Left, Central Window Right","Upper Sign, Minimal Else, Focused","Yellow Sign, Bottom Left Window, Dual Focus","Upper Sign, Minimal Else, Singular Focus",64,38,64,40,67,37,72,26,82,40,85,35,69,35,68,24,74,39,82,32,32.652,3.085,3.008,14.723,27.759,2.794,1.849,12.754,33.216,5.549,3.409,12.605,32.512,3.341,2.481,14.32,36.496,1.983,3.025,21.159
Image 32: Clothing Store,Retail,2,1,4,3,"Natural green, blurry dullness","White frame, bright interior","Dull blur, bright blue clash, gloomy feeling","Dark contrast, white background, excessive blue",2,3,4,1,"Central Window, Store Sign, Bottom Left Window","Store Sign, Bottom Window, Central Window","Central Window, Store Sign, Bottom Left Window","Store Sign, Central Window, Minimal Else",67,55,68,30,89,42,59,29,71,43,82,37,73,41,77,39,76,41,74,31,27.69,2.971,2.016,6.811,26.297,6.799,4.214,8.501,24.893,2.442,1.707,11.518,24.824,3.242,2.031,11.515,35.036,2.732,3.015,17.888
Image 33: Dry Clean Store,Retail,2,4,1,3,"Natural feel, unclear blur, poor readability","Elegant natural, clear reflection","Pure white wall, purple mismatch, messy colors","Bright orange accents, vivid overall",4,3,1,2,"Bottom Right Window, Store Sign, Central Window","Bottom Right Window, Minimal Else, Low Focus","Store Sign, Purple Artwork, Bottom Right Window","Store Sign, Central Window, Bottom Right Window",59,26,68,28,56,29,66,59,79,30,55,35,45,27,65,38,35,27,59,35,37.503,5.903,3.786,16.409,33.396,5.474,4.176,12.486,41.891,4.466,3.544,19.333,49.271,3.457,7.553,21.912,39.182,2.341,2.556,17.294
Image 34: Tobacco Store,Retail,2,4,1,3,"Vibrant colors, red background, too strong contrast","Clear definition, warm tones, yellow-blue contrast","Complex colors, dark contrast, cluttered feel","Soft blue, wood contrast, natural feel",1,2,4,3,"Store Sign, Below Sign Left, Below Sign Right","Store Sign Left, White Fence, High Focus","Parking Sign, Below Sign, White Fence","Store Sign Left, White Fence, Minimal Else",73,67,71,55,75,67,59,42,80,62,63,40,71,49,58,37,84,54,57,29,30.628,2.551,3.691,16.266,36.352,6.434,3.698,14.37,30.743,3.2,2.294,11.846,30.251,1.988,1.453,14.474,36.109,5.008,6.324,18.109
Image 1: Cafe and Bar,Restaurant,3,1,2,4,"Bright Orange, Light Gray, Modern","Nice Contrast, Warm, Welcoming","Difficult To Read, Neat, Polished","Cyan Blue, Vivid, Cheap Feel",4,3,2,1,"Red Sign, Upper Words, Pillars","Central Sign, Upper Words, Less Pillars","Blue Red Sign, Upper Words, Minimal Pillars","White Sign, Sausage Word, Minimal Pillars",57,56,53,39,75,51,70,31,81,41,66,26,71,41,62,26,74,39,61,28,46.735,5.866,7.454,14.173,22.822,3.263,1.292,11.353,36.713,7.047,6.819,16.284,29.612,1.67,1.496,13.755,42.634,3.927,3.948,16.89
Image 2: Coffee and Tea,Restaurant,4,1,3,2,"Bright Red, Well-Polished, Contrast","Simple, Modern, Neat","Simplistic color, Dull, Boring","Bright, Vivid, Difficult To Read",2,3,4,1,"Red Sign, Upper Window, Minimal Bottom","Yellow Sign, Upper Window, Four Regions","Blue Sign, Upper Window, Large Circle","White Black Sign, Upper Window, Minimal Bottom",53,57,87,33,59,43,71,45,48,42,78,17,53,41,66,19,52,41,52,35,45.447,4.577,6.885,26.903,43.809,10.167,6.655,21.364,41.124,6.121,5.773,17.826,34.392,3.132,2.631,16.581,50.965,6.082,7.944,23.645
Image 3: Uyghur Cuisine (Halal food),Restaurant,2,1,4,3,"Black White, Contrast, Fitting","Modern, Luxurious, Yellow Lighting","Bold Purple, Plain, Run-Down","Dark Green, Unfitting, Difficult To Read",4,1,3,2,"Bulletin Board, Store Sign, Low Doors","Bulletin Board, Store Sign, Minimal Surrounding","Bulletin Board, Dull Sign, No Doors","Bulletin Board, Store Sign, Rightward Extension",93,89,70,52,83,56,68,40,92,56,71,44,82,41,58,38,76,44,66,55,28.065,4.275,3.25,10.172,21.899,3.184,2.384,8.443,19.975,1.565,1.243,10.378,24.662,3.558,1.983,10.77,31.74,4.764,3.479,12.846
Image 4: Asian BBQ,Restaurant,2,4,1,3,"Plain, Red Pattern, Contrast","Bold, Neat, Well-Polished","Doors Blend, Less Striking, Unnecessary Contrast","Checkered Doors, Less Appealing, Dark Green",4,2,1,3,"Gray Door, Store Sign, Pillar","Black Door, Window Edge, Minimal Surrounding","Brown Door, Small Region, No Surrounding","Black Door, Large Region, Minimal Surrounding",79,71,72,64,81,40,68,34,85,44,58,34,87,39,70,34,80,41,57,28,30.349,2.72,1.448,12.433,19.775,2.61,1.357,10.202,20.041,2.665,2.649,9.343,24.525,3.607,1.792,12.067,39.185,7.912,2.669,14.374
Image 5: Ice Cream,Restaurant,2,3,1,4,"Many Colors, Blossom Pink, Contrast","Vivid Yellow, Bright, Nice Scheme","Blue Sign, Wood, Extreme Wood","Large Green, Extreme, Neat",1,2,4,3,"Multiple Ads, Red Blue Sign, Bulletin","White Sign, Bulletin Board, Three Regions","Center Store, Bulletin Board, Less Upper","Upper Bulletin, Green Sign, Center Store",82,58,72,72,64,43,90,52,77,44,71,55,78,43,72,47,68,42,58,43,39.325,5.01,5.333,17.238,26.109,4.877,3.252,12.359,26.579,3.326,4.031,13.884,36.041,3.055,1.577,17.682,34.651,3.35,5.319,12.621
Image 6: Basque Cafe,Restaurant,1,2,4,3,"Warm, Black Yellow, Welcoming","Contrast, Neat, Polished","Cluttered, Rainbow Colors, Unnatural","Cyan Blue, Vivid, Cheap Toy Store",4,1,2,3,"White Cursive Sign, Multi Regions, Center Focus","Black Cursive Sign, Central Spread, Less Intense","Purple Sign, Low Others, Minimal Focus","Store Sign, Minimal Others, No Surrounding Focus",74,51,84,58,81,41,69,34,79,36,62,43,75,38,64,39,70,37,46,44,28.172,4.652,2.521,12.511,30.453,4.434,3.496,15.269,34.778,2.982,3.374,17.389,31.73,2.301,1.397,14.631,44.727,5.059,4.891,21.437
Image 7: Healthy Restaurant,Restaurant,2,1,4,3,"Simple, Light Green, Naturally Fitting","Bold, Sharp, Clear","Many Bright Colors, Shadow Interrupted","Blurry, Not Sharp, Nice Colors",3,4,1,2,"Green Banner, Lower Focus, Less Upper","Upper Sign, Lower Banner, Text Focus","Upper Sign, Lower Banner, Wider Lower","Upper Sign, Lower Banner, Same Two Regions",88,55,74,55,93,39,62,35,84,38,73,50,70,35,74,31,84,37,59,38,20.296,2.928,2.161,8.733,17.611,3.947,1.855,8.656,31.881,6.009,2.918,13.736,20.291,2.584,2.055,7.447,34.592,5.023,7.303,10.353
